date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/10/2022,85,broken moon,ranked,1078,G4,103,no,no,1,2,0,1,Vantage,Revenant,Catalyst,269,195,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
11/10/2022,86,broken moon,ranked,138,G4,-34,no,no,17,2,0,0,Vantage,Gibraltar,Bloodhound,184,195,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
11/10/2022,87,broken moon,ranked,255,G4,-34,no,no,15,2,0,0,Vantage,Fuse,Ashe,161,175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
11/10/2022,88,broken moon,ranked,114,G4,-34,no,no,18,2,0,0,Vantage,Bangalore,Maggie,18,95,141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
11/10/2022,89,broken moon,ranked,NA,G4,99,no,no,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/11/2022,90,olympus,casual,712,G4,0,no,no,3,2,0,0,Revenant,Octane,Fuse,1234,1899,540,5,7,2,2,5,2,7,10,2,1,2,3,1,0,0,,
11/11/2022,91,worlds edge,casual,90,G4,0,no,no,14,2,0,0,Revenant,Vantage,Lifeline,57,248,323,0,2,1,0,0,1,0,2,1,0,0,1,0,0,0,,
11/11/2022,92,worlds edge,casual,737,G4,0,no,no,4,2,0,1,Crypto,Octane,Bloodhound,472,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11/11/2022,93,broken moon,ranked,1197,G4,303,no,yes,1,2,0,0,Crypto,Revenant,Catalyst,1133,1282,1673,2,3,6,4,4,2,2,3,6,0,0,2,0,0,0,,
11/11/2022,94,broken moon,ranked,583,G4,22,no,no,8,2,0,0,Crypto,Pathfinder,Catalyst,334,52,145,0,1,2,3,0,0,1,1,2,0,0,0,0,0,0,,
11/11/2022,95,broken moon,ranked,191,G4,-33,no,yes,16,2,0,0,Crypto,Catalyst,Mirage,202,150,68,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,
11/11/2022,96,broken moon,ranked,580,G4,36,no,yes,10,2,0,0,Crypto,Revenant,Catalyst,532,648,235,3,3,0,3,1,2,3,3,0,0,0,0,1,0,0,,
11/11/2022,97,broken moon,ranked,964,G4,156,no,yes,3,2,0,0,Crypto,Newcastle,Bloodhound,1123,1008,1847,1,2,4,4,2,3,3,2,5,1,2,0,1,0,0,,
